WalMart
Costco
Kroger 	
Schwarz Unternehmenstreuhand	
Walgreens
depot
Carrefour
Aldi Einkauf GmbH
Tesco	
Amazon
Target Corporation	
CVS Health Corporation	
Metro Ag	
Aeon 	
Lowe's Companies 	
Auchan
Albertsons Companies
Edeka Group	
Casino Guichard-Perrachon	
Seven & i  	
Wesfarmers	
Rewe Combine
Koninklijke Ahold N.V.	
Woolworths	
Best Buy  	
Centres Distributeurs E. Leclerc	
IKEA
J Sainsbury	
Loblaw Companies	
Publix Super Markets 	
The TJX Companies 	
ITM D_veloppement
Apple
Delhaize
Macy's 	
JD.com 	
Rite Aid Corporation	
Louis Vuitton	
Sears Corporation	
Wm Morrison Supermarkets	
Migros-Genossenschafts Bund	
Lotte Shopping  	
Inditex	
H.E. Butt Grocery Company	
Coop Group	
Suning Commerce Group  	
H & M Hennes & Mauritz
Mercadona	
Syståme U Centrale Nationale	
Dollar General Corporation	
A.S. Watson Group	
Kohl's Corporation	
Empire Company Limited	
China Resources Vanguard  	
Groupe Adeo SA	
Meijer 	
Cencosud	
Marks and Spencer
Kingfisher	
The Gap 	
PJSC "Magnit"	
Dollar Tree 	
Whole Foods Market 	
JerÌÔnimo Martins SGPS	
John Lewis Partnership	
Dixons Carphone	
Fast Retailing  	
Nordstrom 	
Gome Home Appliance Group	
Yamada Denki  	
X5 Retail
Steinhoff
El Corte Ingl_s	
J. C. Penney Company 	
BJ's	
Coop Italia	
Conad Consorzio Nazionale Dettaglianti
L Brands 	
Bed Bath and Beyond 	
Ross Stores 	
CP ALL.	
Toys "R" Us 	
ICA Gruppen AB	
Southeastern Grocers	
Dairy Farm International	
E-MART 	
Co-operative Group 	
S.A.C.I. Falabella	
Staples 	
Isetan Mitsukoshi 	
S Group	
Otto (GmbH & Co)	
AutoZone 	
D_cathlon	
Spar Holding AG	
Menard 	
Liberty Interactive Corporation	
Metro 	
Distribuidora Internacional
Advance Auto Parts 	
Giant Eagle 	
FEMSA Comercio
SuperValu 	
GameStop	
Hy-Vee 	
dm-drogerie markt GmbH + 	
Louis Delhaize	
NorgesGruppen ASA	
Tengelmann Warenhandelsgesellschaft	
Shoprite 	
Dirk Rossmann GmbH	
Canadian Tire	
J. Front Retailing  	
Hudson's Bay	
Dansk Supermarked A/S	
UNY Group  	
Associated British Foods / Primark	
O'Reilly Automotive 	
Wegmans Food Markets 	
Colruyt Group	
Shanghai Bailian
Globus Holding GmbH
NIKE  / Direct to Consumer	
C&A Europe
Esselunga S.p.A.	
Foot Locker 	
PetSmart 	
Chow Tai Fook Jewellery	
Dick's Sporting Goods 	
Office Depot 	
Kesko Corporation	
H2O Retailing Corporation	
The Sherwin-Williams	
Army and Air Force Exchange
Reitan Group
Takashimaya
Kering	
Central Group	
OrganizaciÌÔn SorianaB. de
Beisia Group  	
Compagnie Financiåre Richemont
Bic Camera 	
Dillard's 	
Signet Jewelers Limited	
Belle International Limited	
Yonghui Superstores  	
B_M Birle_ik Ma_azalar A._.	
Home Retail Group	
Next	
Don Quijote
Tractor Supply Company	
Dufry AG	
Emke Group / Lulu Group International	
WinCo Foods	
The SPAR Group Limited	
Coppel de C.V.	
Vipshop Limited	
President Chain Store Corp.	
Agrokor d.d.	
Majid Al Futtaim Holding	
Jumbo Groep Holding B.V.	
Yodobashi Camera  	
Homeplus  	
Axel Johnson AB / Axfood Axstores	
Bauhaus GmbH & 	
Edion Corporation	
Coop Danmark A/S	
Grupo Eroski	
Defense Commissary Agency (DeCA)	
Lojas Americanas	
Pick n Pay Stores Limited	
K's Corporation	
E.Land World 	
GS Retail  	
Sonae SGPS SA	
Izumi  	
Berkshire Hathaway
Big Lots 	
Burlington Stores 	
Deichmann SE	
Neiman Marcus
Life Corporation	
El Puerto de Liverpool
Coop Norge the Group	
Williams-Sonoma 	
Grupo Comercial Chedraui
The Michaels Companies	
Gruppo Eurospin	
Ascena Retail Group 	
Demoulas Super Markets	
SM Investments Corporation	
Chongqing Department Store  	
Academy
McKesson Corporation	
Dashang
Shimamura 	
Woolworths Limited	
OJSC Dixy Group	
Tsuruha 	
Matsumotokiyoshi  	
Forever 21 	
Foodstuffs North Island 	
Hermås International SCA	
XXXLutz Group	
Groupe FNAC	
The Save Mart	
SHV N.V. / Makro	
PETCO Animal Supplies 	
Stater Bros. 	
Sundrug  	
Reinalt-Thomas
Lenta Group	
Belk
Nonggongshang Supermarket
BarnesÌ_& Noble 	
Arcs 	
Lawson	
Darty
MÌªller Holding
Iceland Topco Limited	
Sports Direct International	
Smart & Final Stores 	
Valor	
Ralph Lauren	
HORNBACH Baumarkt AG Group	
Tiffany
BGFretail  	
Coop Sverige AB	
Hobby Lobby Stores 	
Cosmos Pharmaceutical	
Nojima
Coach 	
Nitori	
Ulta Salon Cosmetics & Fragrance 	
PT Indomarco Prismatama (Indomaret)	
HSN 	
Tokyu	
Ingles Markets 	
PT Sumber Alfaria Trijaya Tbk (Alfamart)
Savola Group/Panda Retail Company	
Debenhams	
Sprouts Farmers Market	
Overwaitea Food Group	
Grandvision N.V.	
FamilyMart	
SMU	
American Eagle Outfitters
Abercrombie & Fitch 	
Norma Lebensmittelfilialbetrieb Stiftung
DCM
